id,title,target_languages,monolingual,multilingual,monolingual_translations
993818200101488,Introduccion a la Sabiduria ;compuesta en Latin por ... Juan Luis Vives. Añadese el Dialogo de Plutarcho sobre la ira y la carta a Poliano del modo de proceder en el matrimonio : traducido por Diego de Astudillo.,spa,1,0,1
9917169640101488,Ioannis Lodovici Vivis Von Gebirliche[n] Thun und Lassen aines EhemannsAin Buch verteütscht und erklart durch Christophorum Brunonem .../Joannis Lodovici Vivis Von Gebirliche Thun und Lassen aines Ehemanns. Ain Buch verteutscht und erklart durch Christophorum Brunonem/Von Gebirlichen Thun und Lassen aines Ehemanns. Ain Buch verteutscht und erklart durch Christophorum Brunonem,ger,1,0,0
9915402880101488,Mémoire sur le placement du lycée du Nord à Louvain.,fre,1,0,0
405600500,"Nonnulli è Luciani Dialogis selecti, et in duas partes divisi; alteram prius editam, alteram nunc additam: omnes scholiis illustrati ab Edwardo Leedes, cui in schola Buriensi græca lingua & minutissimæ ejus partis [Greek] contigerunt esse curæ. Accessit etiam (quod ad hanc rem spectare visum est) quicquid scripserunt Grævius, Gronovius, Jensius, cum nuper tantum edito scholiasta Græco.",grc,1,0,0
9932020990101488,Réglement sur l'organisation de l'enseignement supérieur dans les provinces méridionales du royaume des Pays-Bas.,fre,1,0,1
9924325480101488,"The doctrine of absolute predestination stated and asserted :with a preliminary discourse on the divine attributes./Translated, in great measure, from the Latin of Jerom Zanchius, by Augustus Toplady, ...",eng,1,0,1
9992333442501488,"Dialogosde Juan Luis Vives, traducidos en lengua castellana, por el dr. Christoval Coret, y Peris ...",spa,1,0,1
1420300201,"Les caracteres de Theophraste, avec les caracteres ou les mours de ce siécle, par M. de la Bruyere. Nouvelle edition augmentée de quelques notes sur ces deux ouvrages, & de la défense, de La Bruyere, & de ses Caracteres. Par M. Coste. Tome Premier",fre,1,0,1
993796690101488,Leuvensche studenten-almanak,dut,1,0,0
9979984320101488,Relationi del cardinale Bentivogliopublicate da Erycio Pvteano in Anuersa./Relationi del cardinale Bentivoglio publicate da Erycio Puteano in Anversa.,ita,1,0,0
9992146282501488,Ομηρου ΙλιαςHomeri Ilias/Hypothesis tēs g. Omēroi rapsōdias/Omērou Ilias,grc,1,0,0
1024300201,"The works of Virgil: containing his pastorals, Georgics and Æneis. Translated into English verse by Mr. Dryden. In three volumes. ...",eng,1,0,1
9992379699601488,"Los seys libros de las politicas o Doctrina ciuilde Iusto Lipsio, que siruen para el gouierno del reyno, o principado/Los seis libros de la politicas o doctrina civl de Justo Lipsio, que sirven para el govierno del reino o principado",spa,1,0,1
9985313300101488,Justa Lipsyusza Uwagi i przykłady polityczne o cnotach i ułomnościach wielkich ludziUwagi i przykłady polityczne o cnotach i ułomnościach wielkich ludzi,pol,1,0,1
991276670101488,Ομηρου ΙλιαςHomeri Ilias/Omērou Ilias,grc,1,0,0
9979985890101488,"Verclaringhe, met dewelcke Daniel Bovrgvignon ... betoont, hoe hy tot het Catholijck, apostolisch, ende Roomsch geloove bekeert is ende in die heylige Kercke ontfangen door den eerweerdichsten heere, mijnheere den bisschop van Parijs, op den feestdagh van de bekeeringhe van S. Augustijn. ...wt den francoisch int nederduytsch vertaelt door M. M./Verclaringhe, met dewelcke Daniel Bourguignon ... betoont, hoe hy tot het Catholijck, apostolisch, ende Roomsch geloove bekeert is ende in die heylige Kercke ontvangen door den eerweerdichsten heere, mijnheere den bisschop van Parijs, op den feestdagh van de bekeeringhe van S. Augustijn.",dut,1,0,1
9983732300101488,Della politica o vero dottrina civiledi Givsto Lipsio libri VI. ... tradotti dal padre Sisto Pietralata ... All' eminentiss. ... Card. Girolamo Gastaldi.,ita,1,0,1
884200200,"Æsop's fables. With instructive morals and reflections, abstracted from all party considerations, adapted to all capacities; and design'd to promote religion, morality, and universal benevolence. Containing two hundred and forty fables, with a cut ... to each fable. And the life of Æsop prefixed by Mr. Richardson.",eng,1,0,1
9922522220101488,"A counterblast to M. Hornes vayne blast against M. Fekenham. Wherein is set forthe: a ful reply to M. Hornes answer and to euery part thereof made against the declaration of my L. Abbat of Westminster, M. Fekenham, touching the othe of supremacy. ...By Thomas Stapleton./A counterblast to M. Hornes vayne blast against M. Fekenham. Wherein is set forthe: a ful reply to M. Hornes answer and to every part thereof made against the declaration of my L. Abbat of Westminster, M. Fekenham, touching the othe of supremacy. ...",eng,1,0,0
926201100,"C. Sallustii Crispi opera omnia, qu? extant, interpretatione et notis illustravit Daniel Crispinus in usum serenissimi Delphini. In hac editione innumera prioris errata, diligentissimè animadversa, corriguntur.",lat,1,0,0
687200800,"Etrennes voluptueuses, dédiées aux graces. Par Madame L. M. D.P.",fre,1,0,0
237400200,"All the orations of Demosthenes, pronounced to excite the Athenians against Philip King of Macedon. Translated into English; by Thomas Leland, D. D. Fellow of Trinity College, Dublin.",grc,1,0,0
9992179808701488,"Des fürtrefflichen und hochberühmten Erasmi von Rotterdam Lob der Narrheit in einder Schertz-Rede entworffenAnjetzo aufs neu aus dem Lateinischen ins Teutsche übersetzt, mit nöthigen Anmerkungen erläutert, und met Johann Holbeins Kupferii gezieret, wie auch mit einer Kurtzgefassten Lebens-Beschreibung des Auctoris versehen/Des fuertrefflichen und hochberuehmten Erasmi von Rotterdam Lob der Narrheit",ger,1,0,1
9918650990101488,Io. Caramvel de Lobkowitz Motivvm ivris quod in curia Romana disceptatur de eminentissimi d[omi]ni D. cardinalis-ducis de Richeliev incliti cistertiensis archi-cœnobii abbatis-generalis erga uniuersum ordinem authoritate & potestate ...Pvblicabat Gaspar Iongelinvs./Motivum iuris quod in curia Romana disceptatur de eminentissimi domini D. cardinalis-ducis de Richelieu incliti cistertiensis archi-coenobii abbatis-generalis erga universum ordinem authoritate & potestate ... Publicabat Gaspar Jongelinus.,lat,1,0,0
99972240101488,Tratado del socorro de los pobrescompuesto en Latin por ... Juan Luis Vives traducido en Castellano por el D. Juan de Gonzalo ... .,spa,1,0,0
999081190101488,"Introducción a la Sabiduríaescrita en latin por ... Juan Luis Vives, traducida en verso castellano por ... Pedro Pichó y Rius ...",spa,1,0,1
9931967100101488,"Exomologesis sive Modus confitendi,per Erasmum Roterodamũ .../Exomologesis sive modus confitendi per Erasmum Roterodamum",,1,0,0
9911863230101488,Philip Verheyns ... Anatomie oder Zerlegung des menschlichen Leibes ...Aus dem lateinischen vermehrten exemplar aufs neue übersetzet./Anatomie oder Zerlegung des menschlichen Leibes,ger,1,0,1
999289890101488,"Justi LipsI Politicorum sive Civilis doctrinae libri sex ;qui ad principatum maximè spectant, cum ordine & indice, non solum auctorum, sed etiam singillatim librorum & capitum.../Politicorum sive Civilis doctrinae libri sex",ger,1,0,0
363800301,"Di Tito Lucrezio Caro della natura delle cose, libri VI. Tradotti da Alessandro Marchetti ...",ita,1,0,1
237400200,"All the orations of Demosthenes, pronounced to excite the Athenians against Philip King of Macedon. Translated into English; by Thomas Leland, D. D. Fellow of Trinity College, Dublin.",grc,1,0,0
9932221700101488,"Apologos dialogaes,compostos per D. Francisco Manoel de Mello ... Obra posthuma, & a mais politica, civil & gallante que fez seu author. ... per Mathias Pereyra da Sylva.",por,1,0,0
9925750490101488,"Lettre de monsieur de Lambrechts docteur en droit & professeur à l'université de Louvain, écrite au comte de Trauttmansdorff le 20. septembre 1789.",fre,1,0,0
252600900,"Cassiodorii Senatoris Complexiones in epistolas acta apostolorum & apocalypsin: vetustissimis Canonicorum Veronensium membranae nuper erutae. Editio altera, ad Florentinam fideliter expressa, opera & cura Samuelis Chandleri.",lat,1,0,0
9992249884101488,Ξενοφωντος Κυρου Παιδειας βιβλια οκτωXenophontis Cyri Pædiæ libri octo/Xenophōntos Kyrou paideias biblia oktō,grc,1,0,0
9910859800101488,Ivsti RycqvI De capitolio romano commentarivs ...Iusti Rycquii De capitolio romano commentarius .../De capitolio romano commentarius,lat,1,0,0
9992457303901488,"Les dialogves de Iean Loys Vives.Tradvits de latin en françois povr l'exercice des deux langues. Ausquels est adioustee l'explication françoise des mots latins plus rares & moins vsagez, par Gilles de Housteville. Auec ample declaration & traduction des passages grecs en latin par P. de la Motte/Les dialogues de Iean Loys Vives",fre,1,0,1
9985313720101488,"Givsto Lipsio Avertimenti et esempi politici libri dve, che rimirano le virtù, e vitij de' principi ...tradotti nella nostra lingua dal p. Sisto Pietralata da Visso .../Avertimenti et esempi politici libri due/Avertimenti et esempi politici di Givsto Lipsio libri II",ita,1,0,0
9924605500101488,"A narrative of the settlement and sale of Ireland.Whereby the just English adventurer is much prejudiced, .../Written in a letter by a gentleman in the country to a noble-man at court.",eng,1,0,0
9912407030101488,Οδυσσεια. Βατραχομυομαχια. Υμνοι λβ.Vlyssea. Batrachomyomachia. Hymni. XXXII./Odusseia. Batrachomyomachia. Humnoi. lb./Ulyssea,grc,1,0,0
9920228850101488,Antwoord van den professor J. J. Havelange aen den redacteur der gazette genaemd : Le Republicain du Nord aengaende de bezetene in Scherpenheuvel.,dut,1,0,0
346501300,"The morals of Epictetus; made English, in a poetical paraphrase. By Ellis Walker, M.A.",eng,1,0,1
351300501,Quinti Horatii Flacci opera. |...,lat,1,0,0
9979930760101488,"Traité de la confiance chrétienne, ou De l'usage legitime des veritez de la grace.",fre,1,0,0
531800400,Gli amori pastorali di Dafni e di Cloe di Longo Sofista tradotto dalla lingua Greca nella nostra Toscana dal commendatore Annibal Caro.,ita,1,0,1
277801300,Manuel tiré D'Epictéte et de L'Empereur Marc Aurele.,fre,1,0,1
991570530101488,"Ioannis Lvdovici Vivis ... De disciplinis libri XX. in tres tomos distincti,quorum ordinem versa pagella indicabit./De disciplinis libri XX. in tres tomos distincti ... .",lat,1,0,0
356900601,"The Comedies of Terence, translated into familiar blank verse. By George Colman.",eng,1,0,1
9920743730101488,Tvvo bookes Of Constancie written in Latine by Iustus LipsiusEnglished by sir John Stradling. Edited with and introduction by Rudolf Kirk. Notes by Clayton Morris Hall.,eng,1,0,0
497001000,Oppian's Cynegeticks. Translated into English verse.,eng,1,0,1
9911763980101488,Den saterdagh van onse Lieve Vrovvve.Beschreven in 't Latijn door F. Avgvstinvs Wichmans. Over-gheset ende vermeerdert door F. Matthævs Gvillielmi van Drvnen .../Den saterdagh van onse Lieve Vrouwe,dut,1,0,1
